answer to Q1,answer to Q2,answer to Q3,answer to Q4,answer to Q5,age,gender,occupation
3,7,9,Difference-denying feminism,Yes,50,female,clerk
2,6,8,Difference-removing feminism,No,20,male,student
2,4,10,Difference-removing feminism,No,53,male,table games dealer
3,9,8,Difference-honoring feminism,No,19,male,student
5,8,7,Difference-denying feminism,No,18,female,student
3,7,9,Difference-removing feminism,No,23,male,IT tech
2,3,9,Difference-denying feminism,No,19,male,student
6,6,8,Difference-honoring feminism,No,20,female,student
2,7,6,Difference-denying feminism,No,20,male,student
1,5,10,Difference-denying feminism,No,23,male,unemployed
